NI,CR,CO,MO,W,AL,TI,FE,CU,NB,C,HF,SI,MN,ZR,TA,FCC_amount,FCC_CR/AL_Mole_Fraction,FCC_L12_amount,FCC_L12_CR/AL_Mole_Fraction,temperature,Kp,ln(Kp)
0.6383,0.1567,0.03,0.0243,0.1051,0.0456,0,0,0,0,0,0,0,0,0,0,0.6360709291311696,3.055514035,0.3315694436975436,0.590413928,1173,2.61112E-12,-26.67124345
0.6387,0.1562,0,0.0247,0.1342,0.0462,0,0,0,0,0,0,0,0,0,0,0.5540873344846267,3.131279394,0.38422126557400516,0.654954109,1173,4.48838E-12,-26.12952968
0.6536,0.199,0,0.0143,0.0314,0.0121,0.03,0.043,0,0.0156,0.001,0,0,0,0,0,0.7554149072550157,15.09780079,0.12617823992413824,0.085424446,1023,9.42012E-15,-32.29592896
0.6536,0.199,0,0.0143,0.0314,0.0121,0.03,0.043,0,0.0156,0.001,0,0,0,0,0,0.7691495065154055,14.16713737,0.1296179950310001,0.093139949,1073,5.24433E-14,-30.57904471
0.6536,0.199,0,0.0143,0.0314,0.0121,0.03,0.043,0,0.0156,0.001,0,0,0,0,0,0.8561544238518622,9.780975956,0.012388021522634662,0.120905503,1173,1.05997E-12,-27.57277804
0.56215,0.0895,0.161,0.0377,0.052,0.0385,0.0372,0,0,0.018,0.00035,0.0036,0,0,0,0,0.58377873,2.796698499,0.40440405910806215,0.15591667,1273,1.518E-11,-24.91104214
0.586,0.122,0.13,0.029,0.03,0.0303,0.0396,0,0,0,0,0.0021,0,0,0,0.031,0.5275885531932272,6.895835316,0.4250783778345335,0.156277988,1173,4.71784E-13,-28.38225602
0.5611,0.118,0.13,0.029,0.06,0.0305,0.0392,0,0,0,0,0.0022,0,0,0,0.03,0.49167549800440863,6.896629727,0.4447434053702023,0.152898924,1173,3.55388E-13,-28.66556662
0.5538,0.121,0.131,0.06,0.03,0.0305,0.0408,0,0,0,0,0.0019,0,0,0,0.031,0.39335210612616267,5.973155946,0.46597608384815203,0.146452879,1173,4.23877E-13,-28.48933416
0.5376,0.12,0.13,0.029,0.03,0.031,0.0404,0,0,0,0,0.002,0,0,0,0.08,0.33321547511441163,7.875707588,0.4116940621138173,0.144665829,1173,2.67412E-13,-28.94998441
0.5706,0.12,0.129,0.029,0.029,0.0302,0.0412,0,0,0,0,0.02,0,0,0,0.031,0.445789854,7.587655702,0.4622382729355871,0.163009511,1173,1.05077E-12,-27.58149441
0.5478,0.119,0.13,0.03,0.03,0.0298,0.0412,0,0,0.04,0,0.0022,0,0,0,0.03,0.31186799180104025,8.165107683,0.5426532829393075,0.113068385,1173,6.45596E-11,-23.46343188
0.5903,0.1528,0.1048,0.0208,0.0513,0.031,0.044,0,0,0.0019,0,0.0031,0,0,0,0,0.4686285437479046,10.50514005,0.4575863852526357,0.180175904,1123,8.21985E-13,-27.82705413
0.5903,0.1528,0.1048,0.0208,0.0513,0.031,0.044,0,0,0.0019,0,0.0031,0,0,0,0,0.42613318829497254,13.06540756,0.47866329359482584,0.173271012,1073,2.02006E-13,-29.23047843
0.57517,0.1983,0.1028,0.0846,0,0.0158,0.0209,0.001,0,0,0.00086,0,0.00057,0,0,0,0.6654546196720683,9.345493466,0.16291463770961664,0.189633813,1073,3.45877E-13,-28.69269266
0.57517,0.1983,0.1028,0.0846,0,0.0158,0.0209,0.001,0,0,0.00086,0,0.00057,0,0,0,0.7824159043906844,6.722978626,0.08895636,0.184805258,1173,2.60956E-12,-26.67183816
0.6116,0.2,0,0.06,0.08,0.02,0.02,0.008,0,0,0,0,0,0,0.0004,0,0.7021598397857295,10.75336601,0.19438519267328333,0.181940676,1073,1.34736E-12,-27.33287745
0.5916,0.2,0,0.06,0.08,0.02,0.02,0.008,0,0.02,0,0,0,0,0.0004,0,0.6090761131461154,11.65039907,0.24704072028312699,0.108011913,1073,1.1466E-12,-27.49422072
0.4933,0.25,0.2,0.0048,0,0.0147,0.0169,0.0058,0,0.0145,0,0,0,0,0,0,0.7976616350977517,19.81589513,0.17337612897017304,0.085601309,1073,5.00319E-13,-28.32353123
0.4933,0.25,0.2,0.0048,0,0.0147,0.0169,0.0058,0,0.0145,0,0,0,0,0,0,0.8427308004460009,16.05677032,0.1451880153601372,0.099809869,1123,8.44403E-12,-25.49756131
0.4933,0.25,0.2,0.0048,0,0.0147,0.0169,0.0058,0,0.0145,0,0,0,0,0,0,0.8947411791655072,12.00474527,0.081144109,0.119324315,1173,2.60749E-11,-24.37004625
